	index	learning_rate	loss	max_depth	max_features	n_estimators	subsample	testSize
355	0	0.1	huber	3	log2	100	0.1	9
356	0	0.5	quantile	5	sqrt	50	0.1	3
357	0	1.0	lad	5	auto	200	1.0	8
358	0	1.0	quantile	1	auto	100	0.1	5
359	0	0.1	quantile	3	log2	50	0.1	7
360	0	0.5	lad	5	auto	200	0.5	3
361	0	0.1	huber	5	auto	100	0.5	12
362	0	1.0	ls	1	sqrt	50	0.1	3
363	0	0.1	huber	3	log2	100	0.5	9
364	0	0.5	huber	10	log2	500	1.0	7
365	0	0.5	lad	3	log2	200	1.0	5
366	0	0.5	lad	10	log2	50	0.1	3
367	0	0.5	huber	1	auto	50	0.1	3
368	0	0.5	lad	10	log2	200	0.5	7
369	0	0.1	quantile	10	sqrt	200	1.0	13
370	0	0.5	lad	5	sqrt	100	1.0	7
371	0	0.1	ls	5	log2	200	0.5	3
372	0	0.5	huber	10	log2	500	1.0	9
373	0	0.5	quantile	5	auto	50	0.1	5
374	0	0.5	huber	10	log2	50	0.1	3
375	0	0.1	quantile	5	sqrt	50	0.5	7
376	0	0.1	lad	10	log2	500	0.5	13
377	0	1.0	lad	10	auto	200	1.0	7
378	0	1.0	huber	3	auto	500	0.1	3
379	0	0.5	quantile	1	sqrt	50	0.1	4
380	0	0.5	lad	1	auto	200	0.1	4
381	0	0.5	huber	1	sqrt	50	1.0	10
382	0	0.5	ls	3	log2	50	0.5	7
383	0	0.1	huber	3	sqrt	50	0.5	13
384	0	0.1	huber	10	log2	500	0.5	7
385	0	0.5	lad	5	sqrt	100	0.1	3
386	0	0.5	lad	10	log2	200	0.1	3
387	0	0.5	quantile	3	auto	100	1.0	5
388	0	0.1	quantile	3	sqrt	50	1.0	7
389	0	0.1	quantile	5	log2	500	0.1	10
390	0	0.5	quantile	10	auto	100	0.5	3
391	0	1.0	quantile	1	sqrt	500	1.0	3
392	0	0.1	huber	5	log2	200	1.0	12
393	0	0.5	lad	10	sqrt	200	0.5	8
394	0	0.5	huber	3	log2	50	1.0	5
395	0	0.1	quantile	10	auto	100	1.0	7
396	0	0.1	quantile	3	log2	50	1.0	3
397	0	1.0	lad	5	sqrt	100	1.0	9
398	0	0.5	ls	1	sqrt	50	1.0	3
399	0	1.0	lad	5	sqrt	200	0.1	3
400	0	0.5	quantile	1	auto	100	0.1	5
401	0	0.1	quantile	10	auto	100	0.1	7
402	0	0.1	huber	10	sqrt	50	0.1	12
403	0	0.1	lad	3	log2	50	0.1	7
404	0	0.5	ls	1	log2	500	0.5	4
405	0	0.5	quantile	1	log2	100	1.0	3
406	0	0.1	lad	5	log2	100	1.0	9
407	0	0.1	huber	1	sqrt	100	0.1	7
408	0	1.0	quantile	10	auto	500	1.0	5
409	0	0.1	lad	10	log2	500	1.0	7
410	0	0.5	quantile	1	sqrt	100	1.0	3
411	0	0.1	huber	3	sqrt	50	0.1	13
412	0	0.5	lad	5	sqrt	50	0.5	3
413	0	0.1	ls	10	auto	100	0.1	7
414	0	0.5	huber	1	sqrt	200	1.0	4
415	0	0.1	quantile	1	auto	100	0.1	9
416	0	0.1	lad	5	log2	200	0.5	7
417	0	0.1	huber	5	log2	100	1.0	13
418	0	0.5	lad	3	log2	500	1.0	3
419	0	1.0	ls	5	sqrt	100	0.1	3
420	0	0.1	huber	3	log2	500	0.1	7
421	0	0.5	quantile	3	auto	500	1.0	5
422	0	0.5	quantile	3	log2	50	1.0	13
423	0	0.5	lad	5	log2	50	0.5	7
424	0	0.1	ls	5	auto	100	0.1	10
425	0	0.5	quantile	10	sqrt	500	1.0	3
426	0	1.0	quantile	5	log2	50	0.1	3
427	0	0.1	huber	5	sqrt	500	1.0	7
428	0	0.5	huber	5	sqrt	200	1.0	12
429	0	0.1	quantile	5	auto	500	1.0	5
430	0	0.1	quantile	10	log2	100	0.5	8
431	0	0.1	quantile	3	sqrt	100	1.0	3
432	0	0.5	huber	5	auto	100	0.1	3
433	0	0.1	ls	10	sqrt	50	0.1	10
434	0	0.1	quantile	3	log2	200	1.0	12
435	0	1.0	ls	5	log2	500	1.0	5
436	0	0.1	huber	1	sqrt	100	0.5	7
437	0	1.0	lad	1	log2	200	1.0	4
438	0	0.5	lad	5	log2	50	1.0	3
439	0	0.1	lad	5	sqrt	200	1.0	7
440	0	0.5	lad	1	sqrt	50	0.5	3
441	0	0.1	lad	3	sqrt	200	0.1	9
442	0	1.0	ls	10	log2	50	1.0	5
443	0	0.1	huber	1	auto	100	0.1	7
444	0	0.1	huber	10	log2	50	0.1	13
445	0	0.5	lad	5	sqrt	100	0.1	3
446	0	1.0	ls	3	auto	200	0.1	3
447	0	0.1	huber	1	sqrt	200	0.1	7
448	0	1.0	ls	3	auto	500	1.0	4
449	0	0.1	huber	3	auto	500	0.1	9
450	0	0.1	huber	10	auto	200	0.5	13
451	0	1.0	huber	3	log2	50	0.1	3
452	0	1.0	lad	1	log2	50	1.0	7
453	0	0.5	quantile	10	sqrt	100	0.1	3
454	0	0.5	lad	10	log2	100	1.0	7
455	0	0.5	quantile	5	auto	200	1.0	5
456	0	0.1	lad	10	sqrt	100	0.1	13
457	0	0.1	lad	3	sqrt	50	0.1	7
458	0	1.0	huber	1	auto	100	0.1	3
459	0	0.1	huber	1	log2	100	0.1	9
460	0	0.5	huber	3	sqrt	200	0.1	3
461	0	0.1	ls	10	log2	200	1.0	7
462	0	0.1	quantile	5	log2	100	0.1	12
463	0	0.5	lad	10	sqrt	100	1.0	5
464	0	0.5	lad	5	sqrt	50	0.1	4
465	0	0.1	quantile	5	auto	100	0.1	7
466	0	0.5	huber	10	auto	100	0.1	3
467	0	0.1	quantile	10	log2	50	0.1	10
468	0	0.1	quantile	5	log2	100	1.0	8
469	0	0.5	quantile	10	log2	500	1.0	5
470	0	0.1	ls	10	auto	100	0.1	12
471	0	0.1	huber	5	log2	50	0.5	3
472	0	0.5	lad	5	log2	200	0.1	3
473	0	0.1	huber	5	auto	50	0.1	7
474	0	0.5	lad	5	sqrt	100	1.0	7
475	0	1.0	huber	3	sqrt	50	1.0	10
476	0	0.1	quantile	10	sqrt	100	1.0	5
477	0	0.1	lad	5	sqrt	500	1.0	13
478	0	0.5	huber	5	sqrt	50	1.0	3
479	0	0.1	ls	3	sqrt	100	0.5	3
480	0	0.1	lad	1	sqrt	50	0.5	7
481	0	0.1	quantile	5	log2	200	1.0	7
482	0	1.0	ls	1	sqrt	100	1.0	4
483	0	0.1	huber	5	auto	200	0.1	9
484	0	1.0	lad	3	auto	50	0.1	3
485	0	1.0	quantile	3	auto	50	1.0	7
486	0	0.5	huber	3	auto	100	0.5	3
487	0	0.1	ls	10	sqrt	50	0.5	13
488	0	0.1	ls	10	sqrt	200	0.1	5
489	0	0.1	huber	3	log2	100	0.5	7
490	0	0.5	ls	10	log2	500	0.1	3
491	0	0.1	lad	10	auto	100	0.1	9
492	0	0.1	lad	5	auto	200	0.1	7
493	0	1.0	ls	1	sqrt	200	0.1	3
494	0	1.0	quantile	3	log2	200	0.1	5
495	0	0.1	huber	3	log2	100	1.0	13
496	0	0.1	lad	3	log2	200	0.5	7
497	0	1.0	huber	5	log2	100	0.1	4
498	0	1.0	huber	10	log2	100	0.1	3
499	0	0.5	quantile	10	sqrt	500	0.1	5
500	0	0.5	lad	1	sqrt	50	1.0	12
501	0	0.1	quantile	1	sqrt	100	0.1	7
502	0	0.1	lad	10	sqrt	100	0.1	9
503	0	0.1	ls	1	sqrt	100	0.1	8
504	0	1.0	quantile	3	log2	100	0.1	3
505	0	1.0	lad	10	auto	200	0.1	3
506	0	0.5	lad	5	log2	100	1.0	5
507	0	0.5	quantile	1	auto	50	0.5	7
508	0	0.1	huber	10	sqrt	100	0.1	12
509	0	0.1	lad	5	sqrt	50	0.1	7
510	0	0.1	lad	5	auto	200	0.1	10
511	0	0.5	quantile	10	sqrt	100	1.0	3
512	0	0.5	huber	10	log2	200	0.5	3
513	0	0.5	huber	1	sqrt	200	0.1	4
514	0	0.1	huber	3	log2	50	0.1	7
515	0	0.1	lad	10	log2	50	0.1	7
516	0	0.1	quantile	5	sqrt	200	0.1	10
517	0	0.1	ls	3	sqrt	100	0.5	13
518	0	0.5	huber	3	log2	100	0.5	3
519	0	0.5	ls	1	log2	50	0.5	5
520	0	0.5	quantile	1	log2	50	0.1	3
521	0	1.0	quantile	1	log2	500	1.0	7
522	0	0.1	quantile	5	auto	100	0.1	9
523	0	0.5	quantile	1	log2	200	1.0	7
524	0	1.0	huber	5	sqrt	500	1.0	5
525	0	1.0	ls	1	sqrt	100	0.1	3
526	0	0.1	lad	1	sqrt	100	0.1	13
527	0	1.0	ls	10	sqrt	200	0.1	3
528	0	0.1	huber	3	sqrt	50	0.1	9
529	0	0.5	lad	10	sqrt	50	1.0	7
530	0	1.0	lad	1	sqrt	200	0.1	5
531	0	0.5	ls	1	log2	50	0.1	4
532	0	0.1	huber	5	sqrt	500	0.1	7
533	0	0.1	lad	5	log2	200	0.1	3
534	0	0.5	quantile	5	sqrt	50	1.0	7
535	0	0.1	lad	1	sqrt	100	0.5	13
536	0	0.5	ls	1	log2	500	0.1	3
537	0	0.5	lad	10	log2	100	0.1	5
538	0	0.5	lad	5	sqrt	50	1.0	9
539	0	0.1	lad	1	auto	200	0.1	8
540	0	0.5	ls	1	auto	100	0.5	3
541	0	0.1	quantile	5	log2	100	0.1	7
542	0	0.5	huber	1	sqrt	500	1.0	4
543	0	0.1	ls	3	log2	200	0.5	3
544	0	0.1	ls	3	log2	50	1.0	12
545	0	0.5	lad	10	sqrt	50	1.0	10
546	0	0.5	quantile	1	auto	50	0.1	3
547	0	0.1	ls	5	log2	200	0.1	7
548	0	0.5	ls	3	log2	50	0.5	7
549	0	0.5	ls	3	sqrt	50	0.5	3
550	0	1.0	ls	10	sqrt	50	1.0	5
551	0	0.1	quantile	10	auto	50	0.1	7
552	0	0.5	quantile	1	sqrt	500	0.5	10
