workerid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	c1	c2	c3	c4	c5
A3193MI1J3OGLA	2.0	0.0	2.0		2.0																																																																	0	0	2	0	2
AD7CUW86FWEKT		-1.0															-1.0												-2.0																													1.0	-1.0											0	0	2	0	2
A3TN3GQAO61BVB	0.928571428571	0.692307692308	1.0	1.0		-0.33333333333299997			0.5	-1.0																																																		1.0										0	0	2	0	2
A38RBBFY4UF47O	-0.5	-1.0		-1.0	0.75	-1.0	0.0		1.0																																																													0	0	2	0	2
ALOVZW476OXUN		2.0							-1.0																																																													0	0	2	0	2
A3NSX46VYD9J49	0.0	-1.0			1.0																																																																	0	0	2	0	2
A1CTJ8UT7SF317		-1.5	1.0			-1.0				1.0																																																												0	0	2	0	2
A65NLFVBHAXJ0	1.2	1.5	1.0																																																																		-1.0	0	0	2	0	2
A39R17C5NG9TOG	1.0																																																																					0	0	2	0	2
A19887HPPXDM09	1.5	-1.0	1.0	-1.0	2.0	0.33333333333299997				-1.0																																																												0	0	2	0	2
A2NUKIGRRJ89CK		-2.0				-1.0																																																																0	0	2	0	2
AZF0WGPL5SL76	0.0	-1.8571428571400002	1.0			-2.0	-2.0			0.0									-2.0																																																			0	0	2	0	2
A1UMCMXL9EX50R	1.0				1.5	1.5										-1.0																																																						0	0	2	0	2
AIJE3GZD2AHHV		1.0																																																																				0	0	2	0	2
A1SCPXEIA8EYT5	1.4		2.0					-2.0	2.0			1.5	1.6666666666699999																																																									0	0	2	0	2
A20WD8YXVUQCQX	-0.25	-0.75	1.0	-1.25						-1.5									1.0																																																			0	0	2	0	2
A1QKX6GY3CFFK		-1.0																																																																				0	0	2	0	2
A3OD6DNO17G118							2.0																																																															0	0	2	0	2
A5YWWF994EH1R		1.0		1.0		1.0				1.0																																																												0	0	2	0	2
ARQ9DY4UL4WJ4	-1.0															-2.0																																																						0	0	2	0	2
A312FLJ2N14L5V					1.0				1.5	1.0																																																												0	0	2	0	2
A3C6BPE5UJ9EHR		-1.53333333333		-1.46666666667		-1.0				0.33333333333299997		1.0		-1.4		-1.0	-1.0	2.0	-1.0	-1.6666666666699999		0.0		1.0	1.0	1.0			-0.5		-0.5				-2.0		-1.0																			-2.0		1.0			2.0						-1.0			0	0	2	0	2
AQ36OBO2GRA00					2.0	-1.0	2.0		2.0	1.0																																																												0	0	2	0	2
A295RZ1WX44RBH	-0.9	-1.0	-1.0	-1.0	1.6	-0.6	2.0		1.6666666666699999	-1.0																																																											-1.0	0	0	2	0	2
A2QLVGIAKUQOUN										1.0																																																												0	0	2	0	2
A35FHY70T3PL8I		-1.0																																																														1.0						0	0	2	0	2
A2U5T9Q7DGNHKF					1.0				2.0	1.0																																																												0	0	2	0	2
