permission	purpose	packageName	count
ACCESS_FINE_LOCATION	TARGETED_ADS	com.halfbrick.fruitninjafree	20
ACCESS_FINE_LOCATION	TARGETED_ADS	com.kakao.talk	20
ACCESS_FINE_LOCATION	TARGETED_ADS	com.zynga.words	20
ACCESS_FINE_LOCATION	UTILITY	com.sgiggle.production	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.bbm	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.evernote	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.facebook.katana	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.sgiggle.production	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.tencent.mm	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.twitter.android	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.vkontakte.android	20
AUTHENTICATE_ACCOUNTS	INTERNAL	com.whatsapp	20
READ_PHONE_STATE	INTERNAL	com.UCMobile.intl	20
READ_CONTACTS	INTERNAL	com.antivirus	20
READ_PHONE_STATE	INTERNAL	com.avast.android.mobilesecurity	20
READ_PHONE_STATE	TARGETED_ADS	com.gameloft.android.ANMP.GloftDMHM	20
READ_PHONE_STATE	SECONDARY_MARKET	com.creativemobile.DragRacing	20
READ_PHONE_STATE	SECONDARY_MARKET	com.miniclip.eightballpool	20
READ_PHONE_STATE	SECONDARY_MARKET	com.teamlava.bakerystory	20
READ_PHONE_STATE	SECONDARY_MARKET	com.teamlava.restaurantstory	20
READ_PHONE_STATE	SNS	com.UCMobile.intl	20
READ_PHONE_STATE	SOCIAL_GAMING	com.magmamobile.game.BubbleBlast2	20
READ_PHONE_STATE	TARGETED_ADS	com.creativemobile.DragRacing	20
READ_PHONE_STATE	TARGETED_ADS	com.dragonplay.liveholdempro	20
READ_PHONE_STATE	TARGETED_ADS	com.gameloft.android.ANMP.GloftIAHM	20
READ_PHONE_STATE	PAYMENT	eu.nordeus.topeleven.android	20
READ_PHONE_STATE	TARGETED_ADS	com.halfbrick.jetpackjoyride	20
READ_PHONE_STATE	TARGETED_ADS	com.igg.castleclash	20
READ_PHONE_STATE	TARGETED_ADS	com.magmamobile.game.BubbleBlast2	20
READ_PHONE_STATE	TARGETED_ADS	com.nordcurrent.Games101	20
READ_PHONE_STATE	TARGETED_ADS	com.outfit7.mytalkingtomfree	20
READ_PHONE_STATE	TARGETED_ADS	logos.quiz.companies.game	20
READ_PHONE_STATE	UTILITY	com.facebook.katana	20
READ_PHONE_STATE	UTILITY	com.viber.voip	20
READ_PHONE_STATE	INTERNAL	com.badoo.mobile	20
READ_PHONE_STATE	PAYMENT	com.zeptolab.ctrexperiments.ads	20
RECORD_AUDIO	GAME_ENGINE	com.moaibot.sweetyheaven	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.seventeenbullets.android.island	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.imangi.templerun2	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.kiloo.subwaysurf	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.nordcurrent.Games101	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.outfit7.mytalkingtomfree	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.rovio.angrybirds	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.rovio.angrybirdsrio	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.rovio.angrybirdsseasons	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.rovio.angrybirdsspace.ads	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.wooga.diamonddash	20
READ_PHONE_STATE	PAYMENT	com.socialquantum.acityint	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.zynga.words	20
READ_PHONE_STATE	MOBILE_ANALYTICS	logos.quiz.companies.game	20
READ_PHONE_STATE	PAYMENT	com.badoo.mobile	20
READ_PHONE_STATE	PAYMENT	com.creativemobile.DragRacing	20
READ_PHONE_STATE	PAYMENT	com.creativemobile.dragracingbe	20
READ_PHONE_STATE	PAYMENT	com.glu.android.ck	20
READ_PHONE_STATE	PAYMENT	com.happyelements.happyfish	20
READ_PHONE_STATE	PAYMENT	com.nqmobile.antivirus20	20
RECORD_AUDIO	GAME_ENGINE	com.catstudio.zuma1	20
RECORD_AUDIO	GAME_ENGINE	henrich.thandroid.floor	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.fingersoft.hillclimb	20
SEND_SMS	PAYMENT	com.gamebasics.osm	20
SEND_SMS	INTERNAL	com.badoo.mobile	20
SEND_SMS	INTERNAL	com.google.android.apps.googlevoice	20
SEND_SMS	INTERNAL	com.google.android.googlequicksearchbox	20
SEND_SMS	INTERNAL	com.google.android.talk	20
SEND_SMS	INTERNAL	com.jb.gosms	20
SEND_SMS	INTERNAL	com.whatsapp	20
SEND_SMS	INTERNAL	com.zynga.words	20
SEND_SMS	PAYMENT	com.badoo.mobile	20
SEND_SMS	PAYMENT	com.nqmobile.antivirus20	20
SEND_SMS	INTERNAL	com.antivirus	20
SEND_SMS	PAYMENT	com.nqmobile.antivirus20.multilang	20
SEND_SMS	PAYMENT	com.zrgiu.antivirus	20
SEND_SMS	SECONDARY_MARKET	com.xz.nc	20
SEND_SMS	SECONDARY_MARKET	xz.com.dadisu	20
SEND_SMS	SNS	com.letang.game103pp.cn	20
SEND_SMS	SNS	com.playphone.zombiemission	20
SEND_SMS	SOCIAL_GAMING	com.tatem.robosockets	20
SEND_SMS	TARGETED_ADS	com.splashpadmobile.battery	20
SEND_SMS	INTERNAL	com.avast.android.mobilesecurity	20
SEND_SMS	GAME_ENGINE	cn.otlive.games.android.CashOut_Pad	20
RECORD_AUDIO	INTERNAL	com.UCMobile.intl	20
RECORD_AUDIO	INTERNAL	com.vkontakte.android	20
RECORD_AUDIO	INTERNAL	com.bbm	20
RECORD_AUDIO	INTERNAL	com.evernote	20
RECORD_AUDIO	INTERNAL	com.facebook.orca	20
RECORD_AUDIO	INTERNAL	com.google.android.apps.translate	20
RECORD_AUDIO	INTERNAL	com.jb.gosms	20
RECORD_AUDIO	INTERNAL	com.kakao.talk	20
RECORD_AUDIO	INTERNAL	com.outfit7.mytalkingtomfree	20
RECORD_AUDIO	INTERNAL	com.tencent.mm	20
RECORD_AUDIO	INTERNAL	com.whatsapp	20
SEND_SMS	GAME_ENGINE	cn.otlive.games.android.CashOut	20
RECORD_AUDIO	INTERNAL	jp.naver.line.android	20
RECORD_AUDIO	INTERNAL	me.pou.app	20
RECORD_AUDIO	SOCIAL_GAMING	com.aidigame.xcity	20
RECORD_AUDIO	SOCIAL_GAMING	com.loloworks.llzbs	20
RECORD_AUDIO	TARGETED_ADS	com.bestcoolfungames.antsmasher	20
RECORD_AUDIO	TARGETED_ADS	com.outfit7.mytalkingtomfree	20
RECORD_AUDIO	UTILITY	com.outfit7.mytalkingtomfree	20
SEND_SMS	DEVELOPMENT_AID	com.webkey	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.gameloft.android.ANMP.GloftIAHM	20
ACCESS_COARSE_LOCATION	INTERNAL	com.UCMobile.intl	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.easy.battery.saver	20
READ_PHONE_STATE	INTERNAL	com.halfbrick.jetpackjoyride	20
READ_PHONE_STATE	INTERNAL	com.supercell.hayday	20
READ_PHONE_STATE	INTERNAL	com.supercell.clashofclans	20
READ_PHONE_STATE	INTERNAL	com.sgiggle.production	20
READ_PHONE_STATE	INTERNAL	com.seventeenbullets.android.island	20
READ_PHONE_STATE	INTERNAL	com.rovio.angrybirdsspace.ads	20
READ_PHONE_STATE	INTERNAL	com.rovio.angrybirdsrio	20
READ_PHONE_STATE	INTERNAL	com.qihoo.security	20
READ_PHONE_STATE	INTERNAL	com.opera.browser	20
READ_PHONE_STATE	INTERNAL	com.nordcurrent.Games101	20
READ_PHONE_STATE	INTERNAL	com.magmamobile.game.BubbleBlast2	20
READ_PHONE_STATE	INTERNAL	com.igg.castleclash	20
READ_PHONE_STATE	INTERNAL	com.halfbrick.fruitninjafree	20
READ_PHONE_STATE	INTERNAL	com.viber.voip	20
READ_PHONE_STATE	INTERNAL	com.google.android.talk	20
READ_PHONE_STATE	INTERNAL	com.google.android.maps.mytracks	20
READ_PHONE_STATE	INTERNAL	com.google.android.apps.plus	20
READ_PHONE_STATE	INTERNAL	com.google.android.apps.googlevoice	20
READ_PHONE_STATE	INTERNAL	com.gameloft.android.ANMP.GloftDMHM	20
READ_PHONE_STATE	INTERNAL	com.facebook.katana	20
READ_PHONE_STATE	INTERNAL	com.evernote	20
READ_PHONE_STATE	INTERNAL	com.easy.battery.saver	20
READ_PHONE_STATE	INTERNAL	com.dianxinos.dxbs	20
READ_PHONE_STATE	INTERNAL	com.creativemobile.DragRacing	20
READ_PHONE_STATE	INTERNAL	com.cleanmaster.mguard	20
READ_PHONE_STATE	INTERNAL	com.twitter.android	20
READ_PHONE_STATE	INTERNAL	com.outfit7.mytalkingtomfree	20
READ_PHONE_STATE	INTERNAL	com.yahoo.mobile.client.android.mail	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.badoo.mobile	20
READ_PHONE_STATE	INTERNAL	com.zynga.words	20
READ_PHONE_STATE	INTERNAL	com.whatsapp	20
READ_PHONE_STATE	MOBILE_ANALYTICS	com.creativemobile.DragRacing	20
READ_PHONE_STATE	INTERNAL	jp.naver.line.android	20
READ_CONTACTS	INTERNAL	com.google.android.apps.googlevoice	19
GET_ACCOUNTS	INTERNAL	jp.naver.line.android	19
READ_PHONE_STATE	INTERNAL	com.kakao.talk	19
RECORD_AUDIO	INTERNAL	vStudio.Android.Camera360	19
ACCESS_FINE_LOCATION	INTERNAL	com.tencent.mm	19
READ_PHONE_STATE	INTERNAL	com.jb.gosms	19
READ_PHONE_STATE	TARGETED_ADS	com.surpax.ledflashlight.panel	19
ACCESS_FINE_LOCATION	INTERNAL	com.instagram.android	19
READ_CONTACTS	INTERNAL	com.waze	19
READ_PHONE_STATE	INTERNAL	com.rovio.angrybirds	19
READ_PHONE_STATE	TARGETED_ADS	com.omgpop.dstfree	19
ACCESS_FINE_LOCATION	INTERNAL	com.waze	19
READ_PHONE_STATE	INTERNAL	vStudio.Android.Camera360	19
ACCESS_FINE_LOCATION	INTERNAL	com.google.android.gms	19
ACCESS_FINE_LOCATION	INTERNAL	com.google.android.apps.maps	19
SEND_SMS	DEVELOPMENT_AID	com.hipipal.qpy3	19
READ_PHONE_STATE	INTERNAL	com.rovio.angrybirdsseasons	19
READ_PHONE_STATE	TARGETED_ADS	com.halfbrick.fruitninjafree	19
GET_ACCOUNTS	INTERNAL	com.kfactormedia.mycalendarmobile	19
READ_CONTACTS	INTERNAL	com.zynga.words	19
READ_PHONE_STATE	UTILITY	com.facebook.orca	19
ACCESS_FINE_LOCATION	INTERNAL	com.zynga.words	19
READ_CONTACTS	INTERNAL	com.skype.raider	19
READ_CONTACTS	INTERNAL	com.kfactormedia.mycalendarmobile	19
ACCESS_FINE_LOCATION	SOCIAL_GAMING	com.SnowfallLiveWallpapers	19
READ_CONTACTS	INTERNAL	com.kakao.talk	19
ACCESS_FINE_LOCATION	SNS	com.happyelements.happyfish	19
RECORD_AUDIO	INTERNAL	com.sgiggle.production	19
ACCESS_FINE_LOCATION	SECONDARY_MARKET	com.hotspots.voicedialer	19
GET_ACCOUNTS	SECONDARY_MARKET	com.jb.gokeyboard	19
READ_CONTACTS	INTERNAL	com.google.android.googlequicksearchbox	19
ACCESS_FINE_LOCATION	SEARCH_ENGINE	vStudio.Android.Camera360	19
READ_CONTACTS	INTERNAL	com.google.android.gms	19
ACCESS_FINE_LOCATION	TARGETED_ADS	goldenshorestechnologies.brightestflashlight.free	19
READ_CONTACTS	INTERNAL	com.google.android.apps.maps	19
READ_CONTACTS	INTERNAL	jp.naver.line.android	19
GET_ACCOUNTS	INTERNAL	com.google.android.apps.maps	19
RECORD_AUDIO	INTERNAL	com.viber.voip	19
READ_PHONE_STATE	INTERNAL	com.kfactormedia.mycalendarmobile	19
ACCESS_FINE_LOCATION	INTERNAL	vStudio.Android.Camera360	19
RECORD_AUDIO	INTERNAL	com.waze	19
RECORD_AUDIO	DEVELOPMENT_AID	com.unityconceptapps.tcr.kiat	19
AUTHENTICATE_ACCOUNTS	INTERNAL	com.tumblr	19
READ_CONTACTS	INTERNAL	com.sgiggle.production	19
READ_PHONE_STATE	UTILITY	com.vkontakte.android	19
GET_ACCOUNTS	INTERNAL	com.google.earth	19
BLUETOOTH	SOCIAL_GAMING	com.panapstudio.mojitsunagifree	19
ACCESS_FINE_LOCATION	SNS	com.wantu.activity	19
ACCESS_FINE_LOCATION	SNS	vStudio.Android.Camera360	19
MANAGE_ACCOUNTS	INTERNAL	com.skype.raider	19
READ_PHONE_STATE	INTERNAL	com.google.android.gms	19
