hitid	hittypeid	workerid	packageName	permission	purpose	comfortScore
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A29JDEHW192FQY	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1RUUT6L07VW6P	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	-1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2LJAWY0LUIMN1	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	AAXYYH9MI3PJM	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2IYAOQ0BY5EYD	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3C7SA7ADVLG3W	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1XP77IRAJCX5B	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	2
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A6IVYRP8FAIS	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2VJZZPAHHKAOW	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
2W36VCPWZ9RNTCF3R5J7ZN3DAQPAPF	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1CO67KW9NQ5NV	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	INTERNAL	1
24BL0XULRGNTRZ01IHO5MP7NNCG4QQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A2PGZ0W1LUKB0J	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	TARGETED_ADS	1
24BL0XULRGNTRZ01IHO5MP7NNCG4QQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1DDQ8U2YRB25X	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	TARGETED_ADS	-1
24BL0XULRGNTRZ01IHO5MP7NNCG4QQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A32CMQGGTSUK6Z	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	TARGETED_ADS	2
24BL0XULRGNTRZ01IHO5MP7NNCG4QQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A295RZ1WX44RBH	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	TARGETED_ADS	-1
24BL0XULRGNTRZ01IHO5MP7NNCG4QQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A1JT53BJT9J5HU	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	TARGETED_ADS	-1
24BL0XULRGNTRZ01IHO5MP7NNCG4QQ	2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3	A3I5PTITGTFEBW	com.gamevil.cartoonwars.one.global	READ_PHONE_STATE	TARGETED_ADS	2
