workerid	packageName	permission	purpose	label	READ_PHONE_STATE	ACCESS_FINE_LOCATION	GET_ACCOUNTS	CAMERA	READ_CONTACTS	RECORD_AUDIO	SEND_SMS	ACCESS_COARSE_LOCATION	BLUETOOTH	MANAGE_ACCOUNTS	AUTHENTICATE_ACCOUNTS	userID	appID	permissionID
A37QW51L039KKQ	net.tsunamisoft.fanmusic	READ_PHONE_STATE	TARGETED_ADS	0	-1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.71428571429	-0.45	-0.0950006560819
A32CMQGGTSUK6Z	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	1	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	1.96153846154	-0.45	-0.0950006560819
AAXYYH9MI3PJM	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.24347826087	-0.914893617021	0.777777777778	0.6	0.0	-1.0	1.0	-1.0	0.0	0.0	0.0	-0.418831168831	-0.45	-0.0950006560819
AMJAP6BGF5LVM	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.703703703704	-0.714285714286	-0.714285714286	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.09210526316	-0.45	-0.0950006560819
A6IVYRP8FAIS	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.0977443609023	-0.117647058824	1.0	1.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.114130434783	-0.45	-0.0950006560819
A3JJXEVEPU8V9J	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.231707317073	-0.828571428571	0.846153846154	-0.6	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.283105022831	-0.45	-0.0950006560819
A3GXBXAFN2VV35	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.333333333333	-1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.22222222222	-0.45	-0.0950006560819
A24WQPX0B1A05J	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.4	-1.0	-1.0	1.0	0.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.47619047619	-0.45	-0.0950006560819
A1TS2SKXPX7ZED	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.368421052632	-0.0909090909091	1.0	0.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.254545454545	-0.45	-0.0950006560819
A1CGUFW3R6M234	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	1	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.98165137615	-0.45	-0.0950006560819
AE837QZ9XU1UQ	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	1	0.894736842105	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61538461538	-0.45	-0.0950006560819
AST33WVZ5QC05	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-1.0	-0.2	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.25	-0.45	-0.0950006560819
A2IYAOQ0BY5EYD	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.544827586207	-0.931034482759	-1.0	-0.333333333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	-0.803191489362	-0.45	-0.0950006560819
AL49DDQNUF01M	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.741935483871	-0.6	0.111111111111	-0.428571428571	0.0	1.0	0.0	1.0	0.0	0.0	0.0	-1.20786516854	-0.45	-0.0950006560819
A367LM2QEQRPPB	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.57142857143	-0.45	-0.0950006560819
A3BMEVFSETVOUR	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.14285714286	-0.45	-0.0950006560819
A1KX496A3GINRN	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-0.245283018868	-0.375	1.0	1.0	-1.0	0.0	0.0	-1.0	0.0	0.0	0.0	-0.0131578947368	-0.45	-0.0950006560819
A1F4D2PZ7NNWTL	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	1	0.0769230769231	0.5	-1.0	0.0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.511627906977	-0.45	-0.0950006560819
A2LJAWY0LUIMN1	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	0.232323232323	-0.2	0.166666666667	1.0	-1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.111111111111	-0.45	-0.0950006560819
A391YPR0NFTCLK	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	0	-1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	-0.45	-0.0950006560819
A2D8ZM1E0USP73	net.tsunamisoft.fanmusic	READ_PHONE_STATE	MOBILE_ANALYTICS	1	0.2	0.125	1.0	1.0	0.0	1.0	0.0	-1.0	0.0	0.0	0.0	0.5	-0.45	-0.0950006560819
