,hitid,hittypeid,workerid,packageName,permission,purpose,comfortScore,1,2,3,4,5
53,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A18TXM6GMU1411,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-2,0.34937651227083033,0.17281335611099993,-0.17543859648999996,-0.4897959183669998,-1.0
54,2YXL42J1LY58RNZMI49GMKHDIGU4PZ,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2YTOX7SEDJ1TC,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,TARGETED_ADS,-2,0.29547445887066304,0.3936831142703331,0.3936831142703331,-0.4502923976600001,-1.0
55,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,AIUKV0KVALMY6,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,2,278.0,278.0,278.0,278.0,278.0
56,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A295RZ1WX44RBH,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-1,146.0,146.0,146.0,146.0,146.0
57,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,APROFW08F7Z34,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-2,156.0,156.0,156.0,156.0,156.0
58,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A32CMQGGTSUK6Z,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,2,297.0,297.0,297.0,297.0,297.0
59,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2OCP3UDPBH0ME,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,1,281.0,281.0,281.0,281.0,281.0
60,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1JT53BJT9J5HU,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-2,450.0,450.0,450.0,450.0,450.0
61,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A1JRV4XD6CG12W,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,1,576.0,576.0,576.0,576.0,576.0
62,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2IYAOQ0BY5EYD,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,-1,219.0,219.0,219.0,219.0,219.0
63,2GOKW4ZMAZHH77IUM4FNUVRHIUD9IO,2Y18MQU6L5OBBSFGN1O4HIJF7MRDW3,A2I2YRPU8ZFDFK,com.com2us.inotia3.normal.freefull.google.global.android.common,READ_PHONE_STATE,INTERNAL,2,531.0,531.0,531.0,531.0,531.0
