name,purpose,website
mobi,NOT EXTERNAL,N/A
model,NOT EXTERNAL,N/A
MoreGames,GAME_ENGINE,http://pocketmoregames.com/
mrl,NOT EXTERNAL,N/A
musicnmovie,NOT EXTERNAL,N/A
mxt,NOT EXTERNAL,N/A
myjava,NOT EXTERNAL,N/A
processus,NOT EXTERNAL,N/A
pssinc,NOT EXTERNAL,N/A
purpleroom,NOT EXTERNAL,http://www.purpleroom.com/
puzzle,NOT EXTERNAL,N/A
sensedk,NOT EXTERNAL,N/A
sic,NOT EXTERNAL,N/A
Store,NOT EXTERNAL,N/A
trid,NOT EXTERNAL,N/A
vervewireless,TARGETED_ADS,http://www.vervemobile.com/
visionsoftware,NOT EXTERNAL,N/A
visualit,NOT EXTERNAL,N/A
wallpaper,NOT EXTERNAL,N/A
WazaBe,UI_COMPONENT,http://www.holoeverywhere.com/
weathercentral,NOT EXTERNAL,N/A
wikilibs,NOT EXTERNAL,N/A
winad,TARGETED_ADS,N/A
winterwell,SNS,http://www.winterwell.com/software/jtwitter.php
wiyun,SOCIAL_GAMING,http://en.wiyun.com/
wooboo,TARGETED_ADS,http://www.wooboo.com.cn/
wqmobile,TARGETED_ADS,http://www.wqmobile.com/en/mobile-advertising-platform.php
wutka,UTILITY,http://mvnrepository.com/artifact/com.wutka
xanxamobile,NOT EXTERNAL,N/A
ximad,SECONDARY_MARKET,http://www.ximad.com/
xllusion,NOT EXTERNAL,N/A
yyxu,NOT EXTERNAL,N/A
Leadbolt,TARGETED_ADS,http://www.leadbolt.com/
commonsware,UTILITY,http://commonsware.com/
titanium,DEVELOPMENT_AID,http://www.appcelerator.com/platform/titanium-sdk/
mediba,TARGETED_ADS,http://www.mediba.jp/en/
apperhand,TARGETED_ADS,N/A
crittercism,MOBILE_ANALYTICS,https://www.crittercism.com/
greendroid,DEVELOPMENT_AID,http://greendroid.cyrilmottier.com/
localytics,MOBILE_ANALYTICS,http://www.localytics.com/
relaxng,UTILITY,N/A
bouncycastle,UTILITY,N/A
mortbay,UTILITY,N/A
ngigroup,TARGETED_ADS,N/A
admogo,TARGETED_ADS,http://www.adsmogo.com/blog/post/Adsmogo_advertising_platform_optimization_use_report.aspx
cocos2d,GAME_ENGINE,http://www.cocos2d-x.org/
googlecode,DEVELOPMENT_AID,N/A
moolah,TARGETED_ADS,http://www.gomonews.com/mobile-performance-network-moolah-media-hits-android/
adfonic,TARGETED_ADS,http://adfonic.com/
ormma,TARGETED_ADS,https://code.google.com/p/ormma/
alipay,PAYMENT,https://www.alipay.com/
tapfortap,TARGETED_ADS,http://tapfortap.com/
brightcove,CONTENT_PROVIDER,http://www.brightcove.com/en/
dropbox,UTILITY,https://www.dropbox.com/home
jcraft,UTILITY,http://www.jcraft.com/c-info.html
mads,TARGETED_ADS,http://developer.madsone.com/Android_SDK
novell,DEVELOPMENT_AID,http://www.novell.com/developer/ndk/
taptwo,UI_COMPONENT,https://github.com/pakerfeldt/android-viewflow/pull/4/files
guohead,TARGETED_ADS,http://www.guohead.com/home.html
twitterapime,SNS,https://kenai.com/projects/twitterapime/pages/Home
applovin,TARGETED_ADS,https://www.applovin.com/index
kenai,DEVELOPMENT_AID,https://kenai.com/projects/nbandroid/pages/Install
adzhidian,TARGETED_ADS,N/A
suizong,TARGETED_ADS,http://www.suizong.com/
fedorvlasov,UTILITY,N/A
umeng,MOBILE_ANALYTICS,N/A
ocpsoft,UTILITY,http://ocpsoft.org/
qualcomm,UTILITY,N/A
biznessapps,DEVELOPMENT_AID,http://www.biznessapps.com/
kuad,TARGETED_ADS,http://www.kusogi.com/advertiser.htm;jsessionid=2FDB96B475585014EDDBBB169CB52985
xtify,TARGETED_ADS,http://www.xtify.com/
Lcrittercism,MOBILE_ANALYTICS,https://www.crittercism.com/
appyet,DEVELOPMENT_AID,http://www.appyet.com/
jakewharton,UI_COMPONENT,http://viewpagerindicator.com/
nbpcorp,TARGETED_ADS,N/A
pjsip,UTILITY,N/A
jcifs,UTILITY,http://jcifs.samba.org/
renren,SNS,http://www.renren.com/
fiksu,TARGETED_ADS,http://www.fiksu.com/
htmlparser,UTILITY,http://htmlparser.sourceforge.net/
Lroboguice,UTILITY,https://code.google.com/p/roboguice/wiki/SimpleExample?tm=6
playhaven,TARGETED_ADS,http://www.playhaven.com/
weibo,SNS,http://weibo.com
yicha,TARGETED_ADS,http://advision.yicha.jp/
groovy,DEVELOPMENT_AID,http://groovy.codehaus.org/
mocoplex,TARGETED_ADS,N/A
everbadge,TARGETED_ADS,http://everbadge.com/
bumptech,UTILITY,http://bu.mp/company/
afzkl,UTILITY,N/A
mixpanel,MOBILE_ANALYTICS,https://mixpanel.com/
jbox2d,UTILITY,http://www.jbox2d.org/
swarmconnect,TARGETED_ADS,http://swarmconnect.com/
webtrends,MOBILE_ANALYTICS,http://webtrends.com/
jboss,UTILITY,N/A
iflytek,UTILITY,N/A
nuance,UTILITY,http://www.nuance.com/index.htm
LogiaGroup,CONTENT_PROVIDER,http://www.crunchbase.com/company/logia-group
devsmart,UI_COMPONENT,http://www.dev-smart.com/archives/34
aspectj,UTILITY,http://eclipse.org/aspectj/
sellaring,TARGETED_ADS,http://www.sellaring.com/
widespace,TARGETED_ADS,http://www.widespace.com/en/
andnav,CONTENT_PROVIDER,http://www.andnav.org/
eclipse,UTILITY,N/A
intuit,PAYMENT,http://www.intuit.com/
getjar,SECONDARY_MARKET,http://www.getjar.com/
mapabc,CONTENT_PROVIDER,http://www.mapabc.com/
mapsforge,CONTENT_PROVIDER,https://code.google.com/p/mapsforge/
exchange,UTILITY,N/A
ubikod,MOBILE_ANALYTICS,http://www.capptain.com/
apsalar,TARGETED_ADS,https://apsalar.com/
osgi,UTILITY,N/A
min3d,UTILITY,https://code.google.com/p/min3d/
opencv,UTILITY,http://opencv.willowgarage.com/wiki/
jaudiotagger,UTILITY,http://www.jthink.net/jaudiotagger/
appMobi,TARGETED_ADS,http://www.appmobi.com/
burstly,MOBILE_ANALYTICS,http://www.burstly.com/
adpooh,TARGETED_ADS,N/A
noqoush,TARGETED_ADS,http://www.noqoush.com/noqoush/english/
donple,TARGETED_ADS,http://www.donple.com/adpInfo/index
quipper,CONTENT_PROVIDER,http://www.quipper.com/
